id,area_of_origin,level_of_origin,exposures,extent_of_fire,final_incident_type,ignition_source,material_first_ignited,possible_cause,smoke_spread,Status_of_Fire_On_Arrival
fr1694823,44,B01,,1,1,999,46,99,7,2
fr1694824,81,,,,1,999,99,99,,7
fr1694825,44,001,,2,1,999,46,99,2,3
fr1694826,,,,,3,,,,,
fr1694827,,,,,3,,,,,
fr1694828,83,001,,1,1,21,43,52,4,3
fr1694829,72,018,,4,1,71,29,50,2,4
fr1694830,,,,,3,,,,,
fr1694831,87,,,,1,999,46,99,,4
fr1694832,22,B01,,2,1,71,23,45,3,1
fr1694833,,,,,3,,,,,
fr1694834,49,B01,,4,1,999,31,99,10,2
fr1694835,,,,,3,,,,,
fr1694836,27,B01,,1,1,43,39,20,4,2
fr1694837,86,,,,1,999,21,1,,7
fr1694838,,,,,3,,,,,
fr1694839,73,001,,1,1,75,46,1,99,4
fr1694840,81,,,,1,999,99,98,,4
fr1694841,,,,,3,,,,,
fr1694842,,,,,3,,,,,
fr1694843,,,,,3,,,,,
fr1694844,,,,,3,,,,,
fr1694845,25,,,,1,999,48,4,,3
